participant_id,task_qns,task_time,variant,task_type,feedback_avg,feedback_scores
77207,60,0.5780000000000012,B,view personal info,6.714285714285714,"['7', '7', '7', '7', '6', '7', '6']"
27484,60,44.749,B,view personal info,5.714285714285714,"['6', '6', '6', '6', '5', '6', '5']"
52320,60,53.057,B,view personal info,3.857142857142857,"['6', '6', '3', '3', '3', '3', '3']"
23773,60,0.8460000000000001,B,view personal info,6.0,"['6', '6', '6', '6', '6', '6', '6']"
86306,60,1.7409999999999997,B,view personal info,6.714285714285714,"['6', '6', '7', '7', '7', '7', '7']"
11096,86,58.952,B,view finance info,5.857142857142857,"['6', '6', '6', '6', '6', '5', '6']"
94531,86,34.221999999999994,B,view finance info,3.7142857142857144,"['6', '6', '2', '2', '2', '7', '1']"
70610,86,9.107999999999997,B,view finance info,4.857142857142857,"['2', '2', '6', '6', '6', '6', '6']"
68221,86,12.444999999999993,B,view finance info,5.571428571428571,"['5', '5', '7', '7', '5', '5', '5']"
47477,86,14.999000000000002,B,view finance info,6.0,"['6', '6', '6', '6', '6', '6', '6']"
51736,86,45.183,B,view finance info,6.428571428571429,"['5', '5', '7', '7', '7', '7', '7']"
88314,86,25.578,B,view finance info,5.0,"['5', '5', '5', '5', '5', '5', '5']"
74407,86,50.404999999999994,B,view finance info,5.428571428571429,"['6', '5', '4', '5', '6', '6', '6']"
23083,86,26.712000000000003,B,view finance info,4.714285714285714,"['5', '6', '6', '6', '6', '2', '2']"
77207,86,1.9050000000000011,B,view finance info,6.714285714285714,"['7', '7', '7', '7', '6', '7', '6']"
27484,86,28.998,B,view finance info,5.714285714285714,"['6', '6', '6', '6', '5', '6', '5']"
52320,86,40.727,B,view finance info,3.857142857142857,"['6', '6', '3', '3', '3', '3', '3']"
23773,86,1.0600000000000023,B,view finance info,6.0,"['6', '6', '6', '6', '6', '6', '6']"
86306,86,22.371000000000002,B,view finance info,6.714285714285714,"['6', '6', '7', '7', '7', '7', '7']"
11096,87,86.44800000000001,C,view class info,5.714285714285714,"['6', '6', '6', '4', '6', '6', '6']"
94531,87,99.398,C,view class info,3.4285714285714284,"['6', '6', '3', '3', '1', '1', '4']"
70610,87,0.8669999999999973,C,view class info,4.714285714285714,"['7', '7', '7', '3', '3', '3', '3']"
68221,87,1.7880000000000003,C,view class info,4.857142857142857,"['6', '6', '5', '5', '5', '4', '3']"
47477,87,25.802,C,view class info,5.571428571428571,"['7', '7', '5', '5', '5', '5', '5']"
51736,87,28.173,C,view class info,5.571428571428571,"['7', '7', '5', '5', '6', '3', '6']"
88314,87,34.384,C,view class info,6.0,"['6', '6', '6', '6', '6', '6', '6']"
74407,87,47.631,C,view class info,6.714285714285714,"['7', '7', '7', '6', '7', '6', '7']"
23083,87,35.399,C,view class info,3.4285714285714284,"['7', '6', '2', '2', '3', '2', '2']"
77207,87,28.488000000000003,C,view class info,6.428571428571429,"['7', '7', '7', '6', '6', '6', '6']"
27484,87,44.991,C,view class info,5.571428571428571,"['6', '6', '6', '6', '5', '5', '5']"
52320,87,48.81099999999999,C,view class info,6.0,"['6', '6', '6', '6', '6', '6', '6']"
23773,87,0.9149999999999991,C,view class info,6.0,"['6', '6', '6', '6', '6', '6', '6']"
86306,87,29.515,C,view class info,6.0,"['6', '6', '6', '6', '6', '6', '6']"
11096,88,20.967,C,view personal info,5.714285714285714,"['6', '6', '6', '4', '6', '6', '6']"
94531,88,50.806000000000004,C,view personal info,3.4285714285714284,"['6', '6', '3', '3', '1', '1', '4']"
70610,88,1.0670000000000002,C,view personal info,4.714285714285714,"['7', '7', '7', '3', '3', '3', '3']"
68221,88,3.7550000000000026,C,view personal info,4.857142857142857,"['6', '6', '5', '5', '5', '4', '3']"
47477,88,23.004,C,view personal info,5.571428571428571,"['7', '7', '5', '5', '5', '5', '5']"
51736,88,1.0990000000000002,C,view personal info,5.571428571428571,"['7', '7', '5', '5', '6', '3', '6']"
88314,88,50.943,C,view personal info,6.0,"['6', '6', '6', '6', '6', '6', '6']"
74407,88,17.718,C,view personal info,6.714285714285714,"['7', '7', '7', '6', '7', '6', '7']"
23083,88,38.653000000000006,C,view personal info,3.4285714285714284,"['7', '6', '2', '2', '3', '2', '2']"
77207,88,3.2139999999999986,C,view personal info,6.428571428571429,"['7', '7', '7', '6', '6', '6', '6']"
27484,88,29.265,C,view personal info,5.571428571428571,"['6', '6', '6', '6', '5', '5', '5']"
52320,88,352.54200000000003,C,view personal info,6.0,"['6', '6', '6', '6', '6', '6', '6']"
23773,88,0.6999999999999993,C,view personal info,6.0,"['6', '6', '6', '6', '6', '6', '6']"
86306,88,0.7220000000000013,C,view personal info,6.0,"['6', '6', '6', '6', '6', '6', '6']"
11096,89,38.727,C,view finance info,5.714285714285714,"['6', '6', '6', '4', '6', '6', '6']"
94531,89,2.1980000000000004,C,view finance info,3.4285714285714284,"['6', '6', '3', '3', '1', '1', '4']"
70610,89,1.0350000000000001,C,view finance info,4.714285714285714,"['7', '7', '7', '3', '3', '3', '3']"
68221,89,0.8810000000000002,C,view finance info,4.857142857142857,"['6', '6', '5', '5', '5', '4', '3']"
47477,89,37.489999999999995,C,view finance info,5.571428571428571,"['7', '7', '5', '5', '5', '5', '5']"
51736,89,1.4800000000000004,C,view finance info,5.571428571428571,"['7', '7', '5', '5', '6', '3', '6']"
